TEST,VARIANT,STATE,SIZE,TIME (In Ms)
155,Normal,Ascending,10,0.0007
156,Normal,Ascending,10,0.0007
157,Normal,Ascending,10,0.0012
158,Normal,Ascending,10,0.0025
159,Normal,Ascending,10,0.0012
160,Normal,Ascending,10,0.0011
161,Normal,Ascending,10,0.0008
162,Normal,Ascending,10,0.0009
163,Normal,Ascending,10,0.0007
164,Normal,Ascending,10,0.0022
165,Normal,Ascending,10,0.0008
166,Normal,Ascending,10,0.0006
167,Normal,Ascending,10,0.0006
168,Normal,Ascending,10,0.0006
169,Normal,Ascending,10,0.0008
170,Normal,Ascending,10,0.0006
171,Normal,Ascending,10,0.0007
172,Normal,Ascending,10,0.0006
173,Normal,Ascending,10,0.0006
174,Normal,Ascending,10,0.0006
175,Normal,Ascending,10,0.0005
176,Normal,Ascending,10,0.0006
177,Normal,Ascending,10,0.0006
178,Normal,Ascending,10,0.0006
179,Normal,Ascending,10,0.0006
180,Normal,Ascending,10,0.0005
181,Normal,Ascending,10,0.0005
182,Normal,Ascending,10,0.0005
183,Normal,Ascending,10,0.0006
184,Normal,Ascending,10,0.0006
185,Normal,Ascending,10,0.0006
186,Normal,Ascending,10,0.0006
187,Normal,Ascending,10,0.0006
188,Normal,Ascending,10,0.0006
189,Normal,Ascending,10,0.0006
190,Normal,Ascending,10,0.0006
191,Normal,Ascending,10,0.0005
192,Normal,Ascending,10,0.0005
193,Normal,Ascending,10,0.0005
194,Normal,Ascending,10,0.0006
195,Normal,Ascending,10,0.0006
196,Normal,Ascending,10,0.0006
197,Normal,Ascending,10,0.0006
198,Normal,Ascending,10,0.0024
199,Normal,Ascending,10,0.0015
200,Normal,Ascending,10,0.0011
201,Normal,Ascending,10,0.0007
202,Normal,Ascending,10,0.0006
203,Normal,Ascending,10,0.0006
204,Normal,Ascending,10,0.0015
205,Normal,Ascending,10,0.0014
206,Normal,Ascending,10,0.0012
207,Normal,Ascending,10,0.0011
208,Normal,Ascending,10,0.0007
209,Normal,Ascending,10,0.0011
210,Normal,Ascending,10,0.0044
211,Normal,Ascending,10,0.0007
212,Normal,Ascending,10,0.0006
213,Normal,Ascending,10,0.0006
214,Normal,Ascending,10,0.0007
215,Normal,Ascending,10,0.0007
216,Normal,Ascending,10,0.0006
217,Normal,Ascending,10,0.0006
218,Normal,Ascending,10,0.0007
219,Normal,Ascending,10,0.0007
220,Normal,Ascending,10,0.0008
221,Normal,Ascending,10,0.0006
222,Normal,Ascending,10,0.0007
223,Normal,Ascending,10,0.0008
224,Normal,Ascending,10,0.0006
225,Normal,Ascending,10,0.0006
226,Normal,Ascending,10,0.0006
227,Normal,Ascending,10,0.0006
228,Normal,Ascending,10,0.0006
229,Normal,Ascending,10,0.0006
230,Normal,Ascending,10,0.0006
231,Normal,Ascending,10,0.0005
232,Normal,Ascending,10,0.0005
233,Normal,Ascending,10,0.0006
234,Normal,Ascending,10,0.0015
235,Normal,Ascending,10,0.0008
236,Normal,Ascending,10,0.0011
237,Normal,Ascending,10,0.001
238,Normal,Ascending,10,0.0007
239,Normal,Ascending,10,0.0009
240,Normal,Ascending,10,0.0009
241,Normal,Ascending,10,0.0014
242,Normal,Ascending,10,0.001
243,Normal,Ascending,10,0.0009
244,Normal,Ascending,10,0.0005
245,Normal,Ascending,10,0.0006
246,Normal,Ascending,10,0.0007
247,Normal,Ascending,10,0.0012
248,Normal,Ascending,10,0.001
249,Normal,Ascending,10,0.0034
250,Normal,Ascending,10,0.0014
251,Normal,Ascending,10,0.002
252,Normal,Ascending,10,0.0015
253,Normal,Ascending,10,0.0023
254,Normal,Ascending,10,0.0017
255,Normal,Ascending,10,0.0026
256,Normal,Ascending,10,0.0013
257,Normal,Ascending,10,0.0009
258,Normal,Ascending,10,0.0006
259,Normal,Ascending,10,0.001
260,Normal,Ascending,10,0.0008
261,Normal,Ascending,10,0.0008
262,Normal,Ascending,10,0.0006
263,Normal,Ascending,10,0.0007
264,Normal,Ascending,10,0.0007
265,Normal,Ascending,10,0.001
266,Normal,Ascending,10,0.0008
267,Normal,Ascending,10,0.0006
268,Normal,Ascending,10,0.0013
269,Normal,Ascending,10,0.0017
270,Normal,Ascending,10,0.0006
271,Normal,Ascending,10,0.0008
272,Normal,Ascending,10,0.0011
273,Normal,Ascending,10,0.0007
274,Normal,Ascending,10,0.0013
275,Normal,Ascending,10,0.0005
276,Normal,Ascending,10,0.0009
277,Normal,Ascending,10,0.0005
278,Normal,Ascending,10,0.0007
279,Normal,Ascending,10,0.0009
280,Normal,Ascending,10,0.0007
281,Normal,Ascending,10,0.0006
282,Normal,Ascending,10,0.0007
283,Normal,Ascending,10,0.0005
284,Normal,Ascending,10,0.0006
285,Normal,Ascending,10,0.0005
286,Normal,Ascending,10,0.0006
287,Normal,Ascending,10,0.0006
288,Normal,Ascending,10,0.0006
289,Normal,Ascending,10,0.001
290,Normal,Ascending,10,0.0006
291,Normal,Ascending,10,0.0006
292,Normal,Ascending,10,0.0006
293,Normal,Ascending,10,0.0006
294,Normal,Ascending,10,0.0006
295,Normal,Ascending,10,0.0005
296,Normal,Ascending,10,0.0005
297,Normal,Ascending,10,0.0006
298,Normal,Ascending,10,0.0006
299,Normal,Ascending,10,0.0009
300,Normal,Ascending,10,0.0007
301,Normal,Ascending,10,0.0011
302,Normal,Ascending,10,0.0022
303,Normal,Ascending,10,0.0012
304,Normal,Ascending,10,0.0009
305,Normal,Ascending,10,0.0006
306,Normal,Ascending,10,0.0011
307,Normal,Ascending,10,0.001
308,Normal,Ascending,10,0.0009
309,Normal,Ascending,10,0.0024
310,Normal,Ascending,10,0.0007
311,Normal,Ascending,10,0.001
312,Normal,Ascending,10,0.0006
313,Normal,Ascending,10,0.0012
314,Normal,Ascending,10,0.0014
315,Normal,Ascending,10,0.0014
316,Normal,Ascending,10,0.0018
317,Normal,Ascending,10,0.0012
318,Normal,Ascending,10,0.0012
319,Normal,Ascending,10,0.0008
320,Normal,Ascending,10,0.0013
321,Normal,Ascending,10,0.0024
322,Normal,Ascending,10,0.0016
323,Normal,Ascending,10,0.0022
324,Normal,Ascending,10,0.0019
325,Normal,Ascending,10,0.0008
326,Normal,Ascending,10,0.001
327,Normal,Ascending,10,0.0008
328,Normal,Ascending,10,0.0022
329,Normal,Ascending,10,0.0025
330,Normal,Ascending,10,0.0011
331,Normal,Ascending,10,0.0019
332,Normal,Ascending,10,0.0012
333,Normal,Ascending,10,0.0009
334,Normal,Ascending,10,0.0012
335,Normal,Ascending,10,0.0016
336,Normal,Ascending,10,0.0012
337,Normal,Ascending,10,0.0011
338,Normal,Ascending,10,0.0016
339,Normal,Ascending,10,0.0011
340,Normal,Ascending,10,0.0008
341,Normal,Ascending,10,0.0013
342,Normal,Ascending,10,0.001
343,Normal,Ascending,10,0.001
344,Normal,Ascending,10,0.0008
345,Normal,Ascending,10,0.0009
346,Normal,Ascending,10,0.0008
347,Normal,Ascending,10,0.0007
348,Normal,Ascending,10,0.0013
349,Normal,Ascending,10,0.0007
350,Normal,Ascending,10,0.0006
351,Normal,Ascending,10,0.0006
352,Normal,Ascending,10,0.0007
353,Normal,Ascending,10,0.0006
354,Normal,Ascending,10,0.0006
355,Normal,Ascending,10,0.0006
356,Normal,Ascending,10,0.0006
357,Normal,Ascending,10,0.0006
358,Normal,Ascending,10,0.0007
359,Normal,Ascending,10,0.0006
360,Normal,Ascending,10,0.0006
361,Normal,Ascending,10,0.0006
362,Normal,Ascending,10,0.0006
363,Normal,Ascending,10,0.0019
364,Normal,Ascending,10,0.001
365,Normal,Ascending,10,0.001
366,Normal,Ascending,10,0.0014
367,Normal,Ascending,10,0.0045
368,Normal,Ascending,10,0.0013
369,Normal,Ascending,10,0.0012
370,Normal,Ascending,10,0.0011
371,Normal,Ascending,10,0.0011
372,Normal,Ascending,10,0.0009
373,Normal,Ascending,10,0.001
374,Normal,Ascending,10,0.001
375,Normal,Ascending,10,0.0012
376,Normal,Ascending,10,0.0012
377,Normal,Ascending,10,0.0011
378,Normal,Ascending,10,0.0012
379,Normal,Ascending,10,0.0011
380,Normal,Ascending,10,0.0086
381,Normal,Ascending,10,0.001
382,Normal,Ascending,10,0.0012
383,Normal,Ascending,10,0.0011
